"date","value"
"20161230",0.5
"20170102",""
"20170103",0.47
"20170104",0.47
"20170105",0.42
"20170106",0.46
"20170109",0.43
"20170110",0.43
"20170111",0.39
"20170112",0.38
"20170113",0.41
"20170116",""
"20170117",0.36
"20170118",0.42
"20170119",0.43
"20170120",0.44
"20170123",0.39
"20170124",0.41
"20170125",0.45
"20170126",0.43
"20170127",0.41
"20170130",0.42
"20170131",0.4
"20170201",0.43
"20170202",0.43
"20170203",0.44
"20170206",0.4
"20170207",0.4
"20170208",0.38
"20170209",0.41
"20170210",0.4
"20170213",0.43
"20170214",0.46
"20170215",0.45
"20170216",0.43
"20170217",0.41
"20170220",""
"20170221",0.4
"20170222",0.38
"20170223",0.35
"20170224",0.31
"20170227",0.35
"20170228",0.34
"20170301",0.43
"20170302",0.48
"20170303",0.45
"20170306",0.48
"20170307",0.49
"20170308",0.56
"20170309",0.6
"20170310",0.57
"20170313",0.61
"20170314",0.61
"20170315",0.5
"20170316",0.51
"20170317",0.49
"20170320",0.47
"20170321",0.45
"20170322",0.43
"20170323",0.46
"20170324",0.42
"20170327",0.41
"20170328",0.45
"20170329",0.41
"20170330",0.46
"20170331",0.43
"20170403",0.39
"20170404",0.4
"20170405",0.37
"20170406",0.39
"20170407",0.44
"20170410",0.44
"20170411",0.41
"20170412",0.38
"20170413",0.32
"20170414",""
"20170417",0.38
"20170418",0.33
"20170419",0.36
"20170420",0.39
"20170421",0.4
"20170424",0.41
"20170425",0.44
"20170426",0.42
"20170427",0.39
"20170428",0.37
"20170501",0.41
"20170502",0.41
"20170503",0.46
"20170504",0.5
"20170505",0.5
"20170508",0.53
"20170509",0.56
"20170510",0.56
"20170511",0.51
"20170512",0.49
"20170515",0.52
"20170516",0.51
"20170517",0.44
"20170518",0.43
"20170519",0.41
"20170522",0.43
"20170523",0.46
"20170524",0.45
"20170525",0.45
"20170526",0.44
"20170529",""
"20170530",0.4
"20170531",0.4
"20170601",0.4
"20170602",0.36
"20170605",0.39
"20170606",0.37
"20170607",0.4
"20170608",0.41
"20170609",0.43
"20170612",0.46
"20170613",0.46
"20170614",0.44
"20170615",0.49
"20170616",0.49
"20170619",0.52
"20170620",0.5
"20170621",0.5
"20170622",0.46
"20170623",0.45
"20170626",0.43
"20170627",0.5
"20170628",0.49
"20170629",0.55
"20170630",0.58
"20170703",0.6
"20170704",""
"20170705",0.58
"20170706",0.61
"20170707",0.66
"20170710",0.66
"20170711",0.62
"20170712",0.57
"20170713",0.58
"20170714",0.57
"20170717",0.54
"20170718",0.51
"20170719",0.51
"20170720",0.5
"20170721",0.48
"20170724",0.48
"20170725",0.52
"20170726",0.49
"20170727",0.49
"20170728",0.47
"20170731",0.48
"20170801",0.47
"20170802",0.48
"20170803",0.46
"20170804",0.47
"20170807",0.46
"20170808",0.46
"20170809",0.42
"20170810",0.4
"20170811",0.4
"20170814",0.45
"20170815",0.49
"20170816",0.45
"20170817",0.42
"20170818",0.43
"20170821",0.43
"20170822",0.45
"20170823",0.42
"20170824",0.44
"20170825",0.42
"20170828",0.41
"20170829",0.39
"20170830",0.39
"20170831",0.36
"20170901",0.37
"20170904",""
"20170905",0.3
"20170906",0.32
"20170907",0.26
"20170908",0.25
"20170911",0.31
"20170912",0.33
"20170913",0.35
"20170914",0.35
"20170915",0.35
"20170918",0.36
"20170919",0.37
"20170920",0.43
"20170921",0.44
"20170922",0.42
"20170925",0.38
"20170926",0.4
"20170927",0.44
"20170928",0.44
"20170929",0.49
"20171002",0.51
"20171003",0.49
"20171004",0.48
"20171005",0.49
"20171006",0.5
"20171009",""
"20171010",0.47
"20171011",0.46
"20171012",0.44
"20171013",0.43
"20171016",0.46
"20171017",0.48
"20171018",0.5
"20171019",0.49
"20171020",0.52
"20171023",0.52
"20171024",0.55
"20171025",0.56
"20171026",0.57
"20171027",0.54
"20171030",0.5
"20171031",0.5
"20171101",0.49
"20171102",0.48
"20171103",0.48
"20171106",0.46
"20171107",0.44
"20171108",0.45
"20171109",0.46
"20171110",0.52
"20171113",0.52
"20171114",0.51
"20171115",0.48
"20171116",0.53
"20171117",0.49
"20171120",0.52
"20171121",0.52
"20171122",0.48
"20171123",""
"20171124",0.5
"20171127",0.49
"20171128",0.5
"20171129",0.53
"20171130",0.56
"20171201",0.51
"20171204",0.5
"20171205",0.5
"20171206",0.47
"20171207",0.5
"20171208",0.5
"20171211",0.51
"20171212",0.51
"20171213",0.48
"20171214",0.48
"20171215",0.47
"20171218",0.5
"20171219",0.55
"20171220",0.57
"20171221",0.55
"20171222",0.54
"20171225",""
"20171226",0.53
"20171227",0.48
"20171228",0.47
"20171229",0.44
"20180101",""
"20180102",0.46
"20180103",0.46
"20180104",0.45
"20180105",0.46
"20180108",0.47
"20180109",0.52
"20180110",0.52
"20180111",0.54
"20180112",0.54
"20180115",""
"20180116",0.51
"20180117",0.53
"20180118",0.57
"20180119",0.58
"20180122",0.6
"20180123",0.57
"20180124",0.58
"20180125",0.56
"20180126",0.57
"20180129",0.61
"20180130",0.63
"20180131",0.61
"20180201",0.67
"20180202",0.7
"20180205",0.67
"20180206",0.69
"20180207",0.74
"20180208",0.76
"20180209",0.78
"20180212",0.79
"20180213",0.78
"20180214",0.82
"20180215",0.79
"20180216",0.78
"20180219",""
"20180220",0.78
"20180221",0.82
"20180222",0.81
"20180223",0.76
"20180226",0.73
"20180227",0.77
"20180228",0.75
"20180301",0.71
"20180302",0.74
"20180305",0.75
"20180306",0.76
"20180307",0.76
"20180308",0.75
"20180309",0.78
"20180312",0.77
"20180313",0.75
"20180314",0.74
"20180315",0.74
"20180316",0.77
"20180319",0.77
"20180320",0.81
"20180321",0.8
"20180322",0.75
"20180323",0.75
"20180326",0.77
"20180327",0.71
"20180328",0.72
"20180329",0.69
"20180330",""
"20180402",0.68
"20180403",0.71
"20180404",0.71
"20180405",0.75
"20180406",0.7
"20180409",0.71
"20180410",0.72
"20180411",0.68
"20180412",0.7
"20180413",0.69
"20180416",0.71
"20180417",0.68
"20180418",0.71
"20180419",0.75
"20180420",0.79
"20180423",0.8
"20180424",0.83
"20180425",0.86
"20180426",0.82
"20180427",0.79
"20180430",0.78
"20180501",0.81
"20180502",0.8
"20180503",0.78
"20180504",0.79
"20180507",0.78
"20180508",0.81
"20180509",0.82
"20180510",0.8
"20180511",0.82
"20180514",0.85
"20180515",0.9
"20180516",0.92
"20180517",0.95
"20180518",0.91
"20180521",0.9
"20180522",0.91
"20180523",0.87
"20180524",0.86
"20180525",0.84
"20180528",""
"20180529",0.73
"20180530",0.78
"20180531",0.76
"20180601",0.8
"20180604",0.82
"20180605",0.79
"20180606",0.83
"20180607",0.8
"20180608",0.82
"20180611",0.83
"20180612",0.83
"20180613",0.86
"20180614",0.82
"20180615",0.81
"20180618",0.8
"20180619",0.77
"20180620",0.81
"20180621",0.79
"20180622",0.78
"20180625",0.77
"20180626",0.76
"20180627",0.72
"20180628",0.74
"20180629",0.74
"20180702",0.73
"20180703",0.71
"20180704",""
"20180705",0.71
"20180706",0.7
"20180709",0.73
"20180710",0.74
"20180711",0.74
"20180712",0.75
"20180713",0.72
"20180716",0.75
"20180717",0.77
"20180718",0.79
"20180719",0.75
"20180720",0.78
"20180723",0.85
"20180724",0.84
"20180725",0.81
"20180726",0.87
"20180727",0.84
"20180730",0.85
"20180731",0.84
"20180801",0.87
"20180802",0.86
"20180803",0.83
"20180806",0.83
"20180807",0.85
"20180808",0.85
"20180809",0.82
"20180810",0.78
"20180813",0.78
"20180814",0.8
"20180815",0.78
"20180816",0.79
"20180817",0.79
"20180820",0.75
"20180821",0.77
"20180822",0.74
"20180823",0.73
"20180824",0.73
"20180827",0.74
"20180828",0.77
"20180829",0.77
"20180830",0.76
"20180831",0.78
"20180903",""
"20180904",0.8
"20180905",0.81
"20180906",0.8
"20180907",0.84
"20180910",0.84
"20180911",0.86
"20180912",0.85
"20180913",0.87
"20180914",0.89
"20180917",0.89
"20180918",0.92
"20180919",0.93
"20180920",0.92
"20180921",0.92
"20180924",0.92
"20180925",0.94
"20180926",0.92
"20180927",0.91
"20180928",0.91
"20181001",0.95
"20181002",0.93
"20181003",0.99
"20181004",1.03
"20181005",1.07
"20181008",""
"20181009",1.04
"20181010",1.06
"20181011",1.02
"20181012",1.03
"20181015",1.03
"20181016",1.03
"20181017",1.06
"20181018",1.07
"20181019",1.09
"20181022",1.09
"20181023",1.08
"20181024",1.03
"20181025",1.09
"20181026",1.02
"20181029",1.02
"20181030",1.07
"20181031",1.1
"20181101",1.12
"20181102",1.16
"20181105",1.14
"20181106",1.15
"20181107",1.15
"20181108",1.17
"20181109",1.15
"20181112",""
"20181113",1.12
"20181114",1.12
"20181115",1.11
"20181116",1.06
"20181119",1.07
"20181120",1.09
"20181121",1.09
"20181122",""
"20181123",1.09
"20181126",1.11
"20181127",1.15
"20181128",1.12
"20181129",1.05
"20181130",1.04
"20181203",1.02
"20181204",0.97
"20181205",""
"20181206",0.97
"20181207",0.96
"20181210",0.99
"20181211",1.06
"20181212",1.08
"20181213",1.08
"20181214",1.07
"20181217",1.05
"20181218",1.01
"20181219",0.97
"20181220",1.03
"20181221",1.02
"20181224",0.99
"20181225",""
"20181226",1.04
"20181227",1.03
"20181228",0.99
"20181231",0.98
"20190101",""
"20190102",0.96
"20190103",0.88
"20190104",0.91
"20190107",0.92
"20190108",0.91
"20190109",0.91
"20190110",0.93
"20190111",0.88
"20190114",0.9
"20190115",0.91
"20190116",0.91
"20190117",0.96
"20190118",0.96
"20190121",""
"20190122",0.95
"20190123",0.96
"20190124",0.95
"20190125",0.97
"20190128",0.97
"20190129",0.94
"20190130",0.86
"20190131",0.78
"20190201",0.82
"20190204",0.86
"20190205",0.84
"20190206",0.84
"20190207",0.81
"20190208",0.81
"20190211",0.83
"20190212",0.85
"20190213",0.85
"20190214",0.81
"20190215",0.8
"20190218",""
"20190219",0.78
"20190220",0.76
"20190221",0.78
"20190222",0.74
"20190225",0.75
"20190226",0.72
"20190227",0.76
"20190228",0.78
"20190301",0.8
"20190304",0.78
"20190305",0.79
"20190306",0.78
"20190307",0.74
"20190308",0.72
"20190311",0.73
"20190312",0.71
"20190313",0.69
"20190314",0.69
"20190315",0.65
"20190318",0.64
"20190319",0.66
"20190320",0.58
"20190321",0.58
"20190322",0.54
"20190325",0.55
"20190326",0.55
"20190327",0.55
"20190328",0.56
"20190329",0.53
"20190401",0.59
"20190402",0.58
"20190403",0.61
"20190404",0.61
"20190405",0.6
"20190408",0.61
"20190409",0.6
"20190410",0.54
"20190411",0.57
"20190412",0.61
"20190415",0.61
"20190416",0.64
"20190417",0.65
"20190418",0.62
"20190419",""
"20190422",0.64
"20190423",0.62
"20190424",0.57
"20190425",0.56
"20190426",0.54
"20190429",0.58
"20190430",0.56
"20190501",0.59
"20190502",0.66
"20190503",0.63
"20190506",0.6
"20190507",0.58
"20190508",0.62
"20190509",0.6
"20190510",0.59
"20190513",0.55
"20190514",0.56
"20190515",0.54
"20190516",0.56
"20190517",0.58
"20190520",0.6
"20190521",0.6
"20190522",0.6
"20190523",0.58
"20190524",0.56
"20190527",""
"20190528",0.53
"20190529",0.5
"20190530",0.48
"20190531",0.4
"20190603",0.34
"20190604",0.38
"20190605",0.37
"20190606",0.39
"20190607",0.35
"20190610",0.42
"20190611",0.43
"20190612",0.42
"20190613",0.42
"20190614",0.46
"20190617",0.48
"20190618",0.42
"20190619",0.36
"20190620",0.27
"20190621",0.34
"20190624",0.31
"20190625",0.33
"20190626",0.35
"20190627",0.33
"20190628",0.31
"20190701",0.34
"20190702",0.33
"20190703",0.31
"20190704",""
"20190705",0.35
"20190708",0.35
"20190709",0.36
"20190710",0.33
"20190711",0.36
"20190712",0.35
"20190715",0.32
"20190716",0.33
"20190717",0.31
"20190718",0.25
"20190719",0.25
"20190722",0.26
"20190723",0.27
"20190724",0.26
"20190725",0.28
"20190726",0.3
"20190729",0.29
"20190730",0.28
"20190731",0.26
"20190801",0.2
"20190802",0.2
"20190805",0.15
"20190806",0.11
"20190807",0.09
"20190808",0.07
"20190809",0.08
"20190812",0.04
"20190813",0.05
"20190814",0.02
"20190815",-0.02
"20190816",0.01
"20190819",0.04
"20190820",0.02
"20190821",0.05
"20190822",0.07
"20190823",-0.02
"20190826",0.0
"20190827",-0.06
"20190828",-0.08
"20190829",-0.09
"20190830",-0.05
"20190902",""
"20190903",-0.03
"20190904",-0.04
"20190905",0.01
"20190906",0.01
"20190909",0.06
"20190910",0.12
"20190911",0.15
"20190912",0.16
"20190913",0.23
"20190916",0.17
"20190917",0.15
"20190918",0.21
"20190919",0.18
"20190920",0.13
"20190923",0.11
"20190924",0.06
"20190925",0.13
"20190926",0.13
"20190927",0.16
"20190930",0.15
"20191001",0.13
"20191002",0.1
"20191003",0.06
"20191004",0.02
"20191007",0.05
"20191008",0.06
"20191009",0.1
"20191010",0.15
"20191011",0.2
"20191014",""
"20191015",0.21
"20191016",0.18
"20191017",0.17
"20191018",0.16
"20191021",0.19
"20191022",0.17
"20191023",0.16
"20191024",0.15
"20191025",0.15
"20191028",0.21
"20191029",0.23
"20191030",0.21
"20191031",0.15
"20191101",0.14
"20191104",0.15
"20191105",0.18
"20191106",0.15
"20191107",0.23
"20191108",0.23
"20191111",""
"20191112",0.22
"20191113",0.22
"20191114",0.2
"20191115",0.21
"20191118",0.18
"20191119",0.16
"20191120",0.13
"20191121",0.14
"20191122",0.15
"20191125",0.14
"20191126",0.12
"20191127",0.14
"20191128",""
"20191129",0.17
"20191202",0.18
"20191203",0.09
"20191204",0.11
"20191205",0.13
"20191206",0.15
"20191209",0.14
"20191210",0.14
"20191211",0.1
"20191212",0.18
"20191213",0.12
"20191216",0.16
"20191217",0.14
"20191218",0.16
"20191219",0.15
"20191220",0.15
"20191223",0.18
"20191224",0.15
"20191225",""
"20191226",0.16
"20191227",0.15
"20191230",0.15
"20191231",0.15
"20200101",""
"20200102",0.08
"20200103",0.03
"20200106",0.06
"20200107",0.09
"20200108",0.12
"20200109",0.11
"20200110",0.07
"20200113",0.08
"20200114",0.05
"20200115",0.04
"20200116",0.07
"20200117",0.09
"20200120",""
"20200121",0.04
"20200122",0.05
"20200123",0.04
"20200124",0.02
"20200127",-0.02
"20200128",0.0
"20200129",-0.04
"20200130",-0.07
"20200131",-0.14
"20200203",-0.09
"20200204",-0.03
"20200205",0.0
"20200206",-0.02
"20200207",-0.07
"20200210",-0.1
"20200211",-0.06
"20200212",-0.04
"20200213",-0.06
"20200214",-0.07
"20200217",""
"20200218",-0.1
"20200219",-0.09
"20200220",-0.11
"20200221",-0.15
"20200224",-0.21
"20200225",-0.2
"20200226",-0.21
"20200227",-0.23
"20200228",-0.28
"20200302",-0.31
"20200303",-0.43
"20200304",-0.44
"20200305",-0.48
"20200306",-0.57
"20200309",-0.45
"20200310",-0.24
"20200311",-0.14
"20200312",-0.04
"20200313",0.04
"20200316",0.0
"20200317",0.39
"20200318",0.55
"20200319",0.62
"20200320",0.17
"20200323",-0.04
"20200324",-0.13
"20200325",-0.19
"20200326",-0.24
"20200327",-0.22
"20200330",-0.25
"20200331",-0.17
"20200401",-0.29
"20200402",-0.4
"20200403",-0.46
"20200406",-0.47
"20200407",-0.42
"20200408",-0.42
"20200409",-0.5
"20200410",""
"20200413",-0.5
"20200414",-0.53
"20200415",-0.56
"20200416",-0.42
"20200417",-0.36
"20200420",-0.31
"20200421",-0.38
"20200422",-0.43
"20200423",-0.44
"20200424",-0.51
"20200427",-0.5
"20200428",-0.52
"20200429",-0.51
"20200430",-0.43
"20200501",-0.42
"20200504",-0.43
"20200505",-0.44
"20200506",-0.38
"20200507",-0.45
"20200508",-0.43
"20200511",-0.4
"20200512",-0.4
"20200513",-0.43
"20200514",-0.43
"20200515",-0.45
"20200518",-0.44
"20200519",-0.45
"20200520",-0.48
"20200521",-0.46
"20200522",-0.46
"20200525",""
"20200526",-0.44
"20200527",-0.46
"20200528",-0.48
"20200529",-0.5
"20200601",-0.52
"20200602",-0.5
"20200603",-0.44
"20200604",-0.4
"20200605",-0.36
"20200608",-0.4
"20200609",-0.42
"20200610",-0.52
"20200611",-0.55
"20200612",-0.5
"20200615",-0.52
"20200616",-0.52
"20200617",-0.52
"20200618",-0.57
"20200619",-0.6
"20200622",-0.63
"20200623",-0.66
"20200624",-0.64
"20200625",-0.65
"20200626",-0.68
"20200629",-0.7
"20200630",-0.68
"20200701",-0.68
"20200702",-0.73
"20200703",""
"20200706",-0.76
"20200707",-0.78
"20200708",-0.75
"20200709",-0.77
"20200710",-0.76
"20200713",-0.78
"20200714",-0.78
"20200715",-0.77
"20200716",-0.79
"20200717",-0.82
"20200720",-0.84
"20200721",-0.87
"20200722",-0.88
"20200723",-0.9
"20200724",-0.92
"20200727",-0.9
"20200728",-0.92
"20200729",-0.95
"20200730",-0.97
"20200731",-1.0
"20200803",-1.02
"20200804",-1.05
"20200805",-1.06
"20200806",-1.08
"20200807",-1.04
"20200810",-1.02
"20200811",-0.99
"20200812",-0.98
"20200813",-0.96
"20200814",-0.94
"20200817",-0.97
"20200818",-1.01
"20200819",-0.99
"20200820",-0.97
"20200821",-1.0
"20200824",-1.02
"20200825",-1.01
"20200826",-1.03
"20200827",-0.99
"20200828",-1.03
"20200831",-1.08
"20200901",-1.08
"20200902",-1.07
"20200903",-1.02
"20200904",-0.98
"20200907",""
"20200908",-0.99
"20200909",-1.0
"20200910",-1.01
"20200911",-0.98
"20200914",-0.97
"20200915",-0.99
"20200916",-0.99
"20200917",-0.97
"20200918",-0.97
"20200921",-0.94
"20200922",-0.94
"20200923",-0.92
"20200924",-0.91
"20200925",-0.92
"20200928",-0.94
"20200929",-0.98
"20200930",-0.94
"20201001",-0.95
"20201002",-0.94
"20201005",-0.9
"20201006",-0.9
"20201007",-0.9
"20201008",-0.94
"20201009",-0.94
"20201012",""
"20201013",-0.96
"20201014",-0.96
"20201015",-0.95
"20201016",-0.95
"20201019",-0.93
"20201020",-0.91
"20201021",-0.91
"20201022",-0.89
"20201023",-0.9
"20201026",-0.91
"20201027",-0.92
"20201028",-0.91
"20201029",-0.86
"20201030",-0.82
"20201102",-0.84
"20201103",-0.82
"20201104",-0.86
"20201105",-0.87
"20201106",-0.82
"20201109",-0.77
"20201110",-0.78
"20201111",""
"20201112",-0.83
"20201113",-0.83
"20201116",-0.81
"20201117",-0.83
"20201118",-0.82
"20201119",-0.84
"20201120",-0.86
"20201123",-0.85
"20201124",-0.86
"20201125",-0.87
"20201126",""
"20201127",-0.91
"20201130",-0.93
"20201201",-0.89
